,Jour ,Heure  ,Extérieur,Cumul puissance,,Déperditions,30000,W,,SI(D5<$H$4;$H$8*($H$4-D5);0)
,,,T (°C),Chauffage (W),,Température intérieur de base,19,°C,,
,15,8,8.3,12346.15385,,,,,,
,15,9,8.4,12230.76923,,,,,,
,15,10,9.7,10730.76923,,,,,,
,15,11,11.3,8884.615385,,,,,,
,15,12,12.8,7153.846154,,,,,,
,15,13,14.1,5653.846154,,,,,,
,15,14,14.9,4730.769231,,,,,,
,15,15,14.2,5538.461538,,,,,,
,15,16,14.2,5538.461538,,,,,,
,15,17,14.7,4961.538462,,,,,,
,15,18,13.8,6000,,,,,,
,15,19,13.5,6346.153846,,,,,,
,15,20,13.1,6807.692308,,,,,,
,15,21,12.8,7153.846154,,,,,,
,15,22,12.5,7500,,,,,,
,15,23,12.2,7846.153846,,,,,,
,15,24,11.8,8307.692308,,,,,,
,16,1,11.2,9000,,,,,,
,16,2,10.1,10269.23077,,,,,,
,16,3,9.6,10846.15385,,,,,,
,16,4,9.4,11076.92308,,,,,,
,16,5,8.9,11653.84615,,,,,,
,16,6,8.5,12115.38462,,,,,,
,16,7,8.2,12461.53846,,,,,,
,16,8,7.9,12807.69231,,,,,,
,16,9,7.8,12923.07692,,,,,,
,16,10,7.6,13153.84615,,,,,,
,16,11,7.3,13500,,,,,,
,16,12,7.1,13730.76923,,,,,,
,16,13,7,13846.15385,,,,,,
,16,14,6.8,14076.92308,,,,,,
,16,15,6.7,14192.30769,,,,,,
,16,16,7.1,13730.76923,,,,,,
,16,17,7,13846.15385,,,,,,
,16,18,7.1,13730.76923,,,,,,
,16,19,6.7,14192.30769,,,,,,
,16,20,6.3,14653.84615,,,,,,
,16,21,5.9,15115.38462,,,,,,
,16,22,5.5,15576.92308,,,,,,
,16,23,5.1,16038.46154,,,,,,
,16,24,4.7,16500,,,,,,
,17,1,4.5,16730.76923,,,,,,
,17,2,4.7,16500,,,,,,
,17,3,4.7,16500,,,,,,
,17,4,4.8,16384.61538,,,,,,
,17,5,4.9,16269.23077,,,,,,
,17,6,4.9,16269.23077,,,,,,
,17,7,5,16153.84615,,,,,,
,17,8,5.1,16038.46154,,,,,,
,17,9,5.2,15923.07692,,,,,,
,17,10,5.5,15576.92308,,,,,,
,17,11,6,15000,,,,,,
,17,12,6.5,14423.07692,,,,,,
,17,13,6.8,14076.92308,,,,,,
,17,14,9,11538.46154,,,,,,
,17,15,10.4,9923.076923,,,,,,
,17,16,11,9230.769231,,,,,,
,17,17,10.9,9346.153846,,,,,,
,17,18,10.1,10269.23077,,,,,,
,17,19,9.6,10846.15385,,,,,,
,17,20,9,11538.46154,,,,,,
,17,21,8.5,12115.38462,,,,,,
,17,22,7.9,12807.69231,,,,,,
,17,23,7.4,13384.61538,,,,,,
,17,24,6.8,14076.92308,,,,,,
,18,1,6,15000,,,,,,
,18,2,4.9,16269.23077,,,,,,
,18,3,3.9,17423.07692,,,,,,
,18,4,3.3,18115.38462,,,,,,
,18,5,2.7,18807.69231,,,,,,
,18,6,2.2,19384.61538,,,,,,
,18,7,1.7,19961.53846,,,,,,
,18,8,1.3,20423.07692,,,,,,
,18,9,1.1,20653.84615,,,,,,
,18,10,0.8,21000,,,,,,
,18,11,0.5,21346.15385,,,,,,
,18,12,0.2,21692.30769,,,,,,
,18,13,-0.1,22038.46154,,,,,,
,18,14,-0.3,22269.23077,,,,,,
,18,15,-0.5,22500,,,,,,
,18,16,0,21923.07692,,,,,,
,18,17,-0.1,22038.46154,,,,,,
,18,18,0,21923.07692,,,,,,
,18,19,-0.3,22269.23077,,,,,,
,18,20,-0.6,22615.38462,,,,,,
,18,21,-0.9,22961.53846,,,,,,
,18,22,-1.1,23192.30769,,,,,,
,18,23,-1.6,23769.23077,,,,,,
,18,24,-1.7,23884.61538,,,,,,
,19,1,-1.3,23423.07692,,,,,,
,19,2,-0.9,22961.53846,,,,,,
,19,3,-0.6,22615.38462,,,,,,
,19,4,-0.7,22730.76923,,,,,,
